"userCode","sessionToken","mixingCosts","speed","switchCosts"
137302,"9a0tAGV01623173234965",218.358374003092,510.661535087833,421.153775119346
137317,"GPLb4aeg1623177883416",292.304678363032,587.550877192303,174.751717175839
137324,"9mfIStCM1623179821255",-23.2181613587436,146.044885496325,-30.1456303875833
137327,"ZKXlEAy41623181228263",658.184591688485,436.771953779766,436.418722407263
137329,"Ei7VAjL21623181854067",-425.432777777369,488.432777777645,18.0565217387249
137330,"TouJf0mx1623182910754",644.651072124756,820.219298245614,91.7962962962963
137331,"oAnbVi7E1623186720350",277.863775317246,388.708154506949,330.447368421314
137333,"8MaWixZ41623192364013",383.818066957026,511.438073395316,367.345583784151
137812,"FbWHxQjp1623946211837",384.9978898447,420.54377682296,242.533771926949
138135,"K00kP6zD1625262092016",426.180208331488,473.953124997871,227.463440856498
138137,"kWUvX8Nm1625262420154",402.405978030817,520.485957451323,61.4250136691895
138147,"NAlDXKUp1625263234825",-95.9200790994642,485.583236994181,80.2496626181116
138148,"jBDGiVbS1625263525814",35.7195114410321,53.9683673468594,6.69267676766277
138150,"DPXvzMod1625263591137",249.397881352295,492.319067799439,262.224717510959
138151,"2JX3xOJ01625264011299",318.814829676814,455.249321266132,261.139297330038
138156,"EWvgJoUr1625265358271",-122.043809523622,159.343809523846,-3.68636363652366
138175,"4xgijuVR1625270926699",228.174018735388,510.30184331138,478.136206926971
138176,"jyTYYB0J1625271013012",478.852136753087,575.547863247621,18.2779661012391
138186,"UrTwF0611625274503638",-456.546352029716,713.693765822776,25.1395862069883
138189,"UB0GLJ1S1625275445621",43.7176446887022,714.261641025636,173.174768339834
138195,"08w1C78V1625277753825",220.821432312661,292.082979452066,41.8661834734129
138196,"ZopdMFbw1625277959111",593.696602263856,514.428278688533,-467.371645658337
138199,"Qn8mHe0V1625278500136",-421.982699800253,736.728084415598,54.0787820512166
138200,"Pf8EZEz91625279496481",313.501232663373,429.281818182115,481.58983051095
138201,"yihhd01J1625280510896",-54.2808356569814,439.292019867564,26.0208157894626
138203,"fH0C9Zz01625282128398",-53.4974978632336,529.446472222148,61.7604542127221
138204,"p5T0z4fp1625282143949",12.9380157765207,59.9563592232863,-6.91104166632695
138205,"Ae5apEoW1625282318304",-12.2890688071132,85.3375688072437,-2.07617857170547
138206,"UGW6dTXz1625282399680",387.947976006972,528.834782607141,572.538552859734
138208,"CZttY5qt1625283263127",33.6104020978616,52.0036363636577,-17.6721029778113
138211,"5ZAUYEfu1625284291044",302.801315787069,557.92149122922,575.29298246116
138216,"9g0tgj3o1625289621135",-109.852193261284,222.198347107438,-9.81490384615384
138218,"Q0Tv85Ei1625292053607",-37.7254782606182,67.6674782609193,26.7781562497803
138220,"yMFSs2dH1625293521084",-21.1268968246561,89.9545634919306,27.1652499990589
138221,"fX1pz3Sj1625294141545",8.65492441051028,76.2198672566946,-29.8966250006129
138222,"dg769fj21625294259947",34.3037553419777,103.908605769092,-61.0769444447069
138223,"QIOlp8Sd1625295119324",-75.8053837396376,88.2589837397899,-1.09931428633497
