userCode,extId,moduleId,sessionId,sessionToken,trialId,executableId,session.complete,session.condition,session.forceExit,givenResponse,reactionTime,score,stimulusValue,stimulusType,stimulusPosition,correctResponse
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,1,simon_practice,0,,0,green,1849.5,1,simon_green.png,congruent,left,green
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,2,simon_practice,0,,0,green,1170,1,simon_green.png,congruent,left,green
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,3,simon_practice,0,,0,green,1996.9000000059605,1,simon_green.png,incongruent,right,green
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,4,simon_practice,0,,0,red,1051.7999999970198,1,simon_red.png,congruent,right,red
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,5,simon_practice,0,,0,red,1030.8999999985099,1,simon_red.png,congruent,right,red
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,6,simon_practice,0,,0,red,1480.7999999970198,1,simon_red.png,incongruent,left,red
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,7,simon_practice,0,,0,green,842.5999999940395,1,simon_green.png,congruent,left,green
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,8,simon_practice,0,,0,red,753.7999999970198,1,simon_red.png,congruent,right,red
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,9,simon_practice,0,,0,red,1168.3999999985099,1,simon_red.png,congruent,right,red
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,10,simon_practice,0,,0,red,1169.8999999985099,1,simon_red.png,incongruent,left,red
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,11,simon_practice,0,,0,green,1069.8999999985099,1,simon_green.png,congruent,left,green
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,12,simon_practice,0,,0,green,1583.7999999970198,1,simon_green.png,incongruent,right,green
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,13,simon_test,0,,0,green,967.6000000014901,1,simon_green.png,congruent,left,green
138639,,846f4b2b-0d42-4b5b-9454-662bb6f17c8a,1,0oEE8NIy1626043595473,14,simon_test,0,,0,red,1228.8999999985099,1,simon_red.png,congruent,right,red
