"userCode","sessionToken","congruent","incongruent","RTinterference"
137302,"9a0tAGV01623173234965",432.541925925869,468.337702702942,0.0827567794739216
137317,"GPLb4aeg1623177883416",410.450000000672,476.02499999702,0.159763674007165
137324,"9mfIStCM1623179821255",528.405034722104,556.866888888992,0.0538637073771567
137327,"ZKXlEAy41623181228263",370.959420288589,445.213378388183,0.200167333779603
137329,"Ei7VAjL21623181854067",486.644628099512,694.373076923192,0.42685860858039
137330,"TouJf0mx1623182910754",678.448529411765,758.790697674419,0.118420432471588
137331,"oAnbVi7E1623186720350",336.405673758147,395.302777777943,0.175077617930249
137333,"8MaWixZ41623192364013",436.092086330592,528.29999999553,0.211441382577708
137812,"FbWHxQjp1623946211837",353.7644927506,445.519512189598,0.259367520820367
138135,"K00kP6zD1625262092016",380.764539006754,463.384090886875,0.216983314926433
138137,"kWUvX8Nm1625262420154",420.382432431788,463.632608698762,0.102882929757042
138147,"NAlDXKUp1625263234825",480.596124031037,589.480645161473,0.226561380098447
138148,"jBDGiVbS1625263525814",461.100000000047,583.172727272486,0.264742414383925
138150,"DPXvzMod1625263591137",434.94963503319,516.96829267246,0.188570471229413
138151,"2JX3xOJ01625264011299",434.236363635405,444.097777774599,0.0227097842673391
138156,"EWvgJoUr1625265358271",530.350833333315,609.112499999655,0.148508613008703
138175,"4xgijuVR1625270926699",432.985211266598,484.179487179487,0.118235622327913
138176,"jyTYYB0J1625271013012",552.150714285459,618.911363637075,0.120910192859229
138186,"UrTwF0611625274503638",933.059769230767,1095.95231707315,0.174578899674002
138189,"UB0GLJ1S1625275445621",756.708941605845,1043.10722222223,0.378478784734074
138195,"08w1C78V1625277753825",1072.03039130431,1145.16067567562,0.0682166149061668
138196,"ZopdMFbw1625277959111",659.449100719382,754.799459459495,0.144590929968813
138199,"Qn8mHe0V1625278500136",696.76365248226,876.963877551038,0.258624605957565
138200,"Pf8EZEz91625279496481",378.159310344478,417.389583333395,0.103740069107861
138201,"yihhd01J1625280510896",558.448977272679,659.894024390291,0.181654996689302
138203,"fH0C9Zz01625282128398",415.528309352517,484.082666666653,0.164981195675832
